1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
"((17, 16), 1)","((18, 16), 2)","((19, 16), 3)","((20, 16), 4)","((21, 16), 5)","((22, 16), 6)","((23, 16), 7)","((24, 16), 8)","((25, 16), 9)","((26, 16), 10)","((27, 16), 11)","((28, 16), 12)","((29, 17), 13)","((30, 18), 14)","((31, 18), 15)","((32, 18), 16)","((33, 17), 17)","((34, 16), 18)","((35, 16), 19)","((36, 16), 20)",,,,,,
"((17, 18), 1)","((18, 17), 2)","((19, 17), 3)","((20, 17), 4)","((21, 17), 5)","((22, 17), 6)","((23, 17), 7)","((24, 17), 8)","((25, 17), 9)","((26, 17), 10)","((27, 17), 11)","((28, 17), 12)","((29, 16), 13)","((29, 17), 14)","((30, 18), 15)","((31, 18), 16)","((32, 18), 17)","((33, 17), 18)","((34, 16), 19)","((35, 16), 20)","((36, 16), 21)","((37, 16), 22)",,,,
"((17, 17), 1)","((18, 18), 2)","((19, 18), 3)","((20, 18), 4)","((21, 18), 5)","((22, 18), 6)","((23, 18), 7)","((24, 18), 8)","((25, 18), 9)","((26, 18), 10)","((27, 18), 11)","((28, 18), 12)","((29, 18), 13)","((30, 19), 14)","((31, 19), 15)","((32, 19), 16)","((33, 18), 17)","((34, 17), 18)","((35, 17), 19)","((36, 17), 20)","((37, 16), 21)","((37, 15), 22)",,,,
"((16, 18), 1)","((17, 17), 2)","((18, 16), 3)","((19, 16), 4)","((20, 15), 5)","((21, 15), 6)","((22, 15), 7)","((23, 15), 8)","((24, 15), 9)","((25, 15), 10)","((26, 15), 11)","((27, 15), 12)","((28, 15), 13)","((29, 16), 14)","((29, 17), 15)","((30, 18), 16)","((31, 18), 17)","((32, 18), 18)","((33, 17), 19)","((34, 16), 20)","((35, 15), 21)","((36, 15), 22)",,,,
"((16, 15), 1)","((17, 16), 2)","((18, 17), 3)","((19, 17), 4)","((20, 16), 5)","((21, 16), 6)","((22, 16), 7)","((23, 16), 8)","((24, 16), 9)","((25, 16), 10)","((26, 16), 11)","((27, 16), 12)","((28, 16), 13)","((29, 15), 14)","((29, 16), 15)","((29, 17), 16)","((30, 18), 17)","((31, 18), 18)","((32, 18), 19)","((33, 17), 20)","((34, 16), 21)","((35, 15), 22)",,,,
"((15, 15), 1)","((16, 15), 2)","((17, 16), 3)","((18, 16), 4)","((19, 16), 5)","((20, 15), 6)","((21, 14), 7)","((22, 14), 8)","((23, 14), 9)","((24, 14), 10)","((25, 14), 11)","((26, 14), 12)","((27, 14), 13)","((28, 14), 14)","((29, 15), 15)","((29, 16), 16)","((29, 17), 17)","((30, 18), 18)","((31, 18), 19)","((32, 18), 20)","((33, 17), 21)","((33, 16), 22)","((33, 15), 23)","((34, 14), 24)",,
"((16, 17), 1)","((17, 18), 2)","((18, 18), 3)","((19, 18), 4)","((20, 17), 5)","((21, 17), 6)","((22, 17), 7)","((23, 17), 8)","((24, 17), 9)","((25, 17), 10)","((26, 17), 11)","((27, 17), 12)","((28, 17), 13)","((29, 18), 14)","((30, 19), 15)","((31, 19), 16)","((32, 19), 17)","((33, 18), 18)","((34, 17), 19)","((35, 17), 20)","((35, 16), 21)","((36, 16), 22)","((36, 15), 23)","((36, 14), 24)",,
"((15, 17), 1)","((16, 16), 2)","((17, 17), 3)","((18, 17), 4)","((19, 17), 5)","((20, 16), 6)","((21, 15), 7)","((22, 15), 8)","((23, 15), 9)","((24, 15), 10)","((25, 15), 11)","((26, 15), 12)","((27, 15), 13)","((28, 15), 14)","((29, 14), 15)","((29, 15), 16)","((29, 16), 17)","((29, 17), 18)","((30, 18), 19)","((31, 18), 20)","((32, 18), 21)","((33, 17), 22)","((34, 16), 23)","((34, 15), 24)","((35, 14), 25)",
"((16, 16), 1)","((16, 17), 2)","((17, 18), 3)","((18, 18), 4)","((19, 18), 5)","((20, 17), 6)","((21, 16), 7)","((22, 16), 8)","((23, 16), 9)","((24, 16), 10)","((25, 16), 11)","((26, 16), 12)","((27, 16), 13)","((28, 16), 14)","((28, 15), 15)","((29, 14), 16)","((29, 15), 17)","((29, 16), 18)","((29, 17), 19)","((30, 18), 20)","((31, 18), 21)","((32, 18), 22)","((33, 17), 23)","((34, 16), 24)","((35, 16), 25)",
"((15, 16), 1)","((15, 15), 2)","((16, 15), 3)","((17, 16), 4)","((18, 16), 5)","((19, 16), 6)","((20, 15), 7)","((21, 15), 8)","((22, 15), 9)","((23, 15), 10)","((24, 15), 11)","((25, 15), 12)","((26, 15), 13)","((27, 15), 14)","((28, 14), 15)","((29, 13), 16)","((29, 14), 17)","((29, 15), 18)","((29, 16), 19)","((29, 17), 20)","((30, 18), 21)","((31, 18), 22)","((32, 18), 23)","((33, 17), 24)","((33, 16), 25)","((34, 15), 26)"
